learning_rate,num_epochs,n_hidden_1,loss_functions_label,activation_functions_label,train_accuracy,test_accuracy
0.1,1000.0,64.0,CE,sigmoid,99.69999694824219,81.44999694824219
0.1,100.0,64.0,CE,sigmoid,96.30000305175781,80.55000305175781
0.01,100.0,64.0,CE,sigmoid,95.5999984741211,75.25
0.01,100.0,1000.0,CE,sigmoid,99.69999694824219,81.19999694824219
0.001,100.0,64.0,CE,sigmoid,77.5999984741211,53.849998474121094
0.1,100.0,64.0,CE,sigmoid,96.30000305175781,80.55000305175781
0.1,100.0,64.0,MSE,sigmoid,96.9000015258789,75.05000305175781
0.2,100.0,64.0,MSE,sigmoid,96.80000305175781,77.75
0.2,100.0,64.0,CE,sigmoid,86.0,68.94999694824219
0.1,100.0,64.0,CE,sigmoid,96.30000305175781,80.55000305175781
0.1,100.0,64.0,CE,sigmoid,96.30000305175781,80.55000305175781
